word,n,topic,beta
мочь_verb,10868,Topic 1,0.013250029366413178
человек_noun,12725,Topic 1,0.010511487514510049
операция_noun,9796,Topic 1,0.009172645429535576
пациент_noun,12493,Topic 1,0.0074820268846319754
быть_verb,7681,Topic 1,0.006708170073640755
врач_noun,16110,Topic 1,0.006186532896141969
жизнь_noun,6276,Topic 1,0.005935707169899958
заболевание_noun,7973,Topic 1,0.00587167054697697
год_noun,25677,Topic 1,0.005063816219437557
время_noun,7122,Topic 1,0.004277638680225856
сердце_noun,3053,Topic 1,0.004036232611464383
лечение_noun,8313,Topic 1,0.003962598323482185
организм_noun,2122,Topic 1,0.0039619818106822295
здоровье_noun,4718,Topic 1,0.0038991862557377415
специалист_noun,5216,Topic 1,0.0035753269592733775
можно_verb,2992,Topic 1,0.003553365802313448
болезнь_noun,2900,Topic 1,0.003475125855556954
самый_adj,3747,Topic 1,0.003385891774604756
другой_adj,4601,Topic 1,0.00337582490692375
день_noun,6805,Topic 1,0.003369403962612135
укус_noun,734,Topic 2,0.01037427923765557
коронавирус_noun,1834,Topic 2,0.009344846505578307
ад_noun,633,Topic 2,0.008946755800321492
клещ_noun,542,Topic 2,0.007660571317178907
бойынша_noun,518,Topic 2,0.007321357827119327
деп_noun,467,Topic 2,0.006600529160742711
мный_noun,404,Topic 2,0.005710093749336308
жатыр_noun,401,Topic 2,0.005667692063078858
жәна_noun,368,Topic 2,0.005201273514246933
қарс_noun,363,Topic 2,0.005130604037151189
вакцина_noun,1416,Topic 2,0.004779202699696546
турал_noun,334,Topic 2,0.004720721069995859
кардиоцентр_noun,371,Topic 2,0.004561250047640117
ауыр_noun,312,Topic 2,0.004409775370774573
клеще_noun,298,Topic 2,0.0042119008349064836
вакциный_noun,294,Topic 2,0.004155365253229889
жағдайа_noun,290,Topic 2,0.004098829671553292
науқас_noun,285,Topic 2,0.004028160194457543
бұть_verb,275,Topic 2,0.003886821240266051
бір_noun,274,Topic 2,0.003872687344846901
ребенок_noun,15596,Topic 3,0.01854568487359199
больница_noun,12134,Topic 3,0.01662626234423105
врач_noun,16110,Topic 3,0.015123808888240775
состояние_noun,7762,Topic 3,0.010115186836868155
помощь_noun,12560,Topic 3,0.009194737291461695
операция_noun,9796,Topic 3,0.007302537636062947
год_noun,25677,Topic 3,0.00658372469298857
отделение_noun,4551,Topic 3,0.006478524447981107
женщина_noun,5949,Topic 3,0.005984218967726732
областной_adj,4225,Topic 3,0.005703999636888371
находиться_verb,4643,Topic 3,0.005634630886386856
пациент_noun,12493,Topic 3,0.0056331337221471765
сообщить_verb,5639,Topic 3,0.005577480741396202
область_noun,9646,Topic 3,0.005389043701978732
детский_adj,4325,Topic 3,0.005340328701813631
провести_verb,5402,Topic 3,0.005247505693331587
девочка_noun,3903,Topic 3,0.00519319997313208
рассказать_verb,5082,Topic 3,0.004934408773283212
центр_noun,8349,Topic 3,0.004909235139304817
медицинский_adj,17878,Topic 3,0.004822388863247281
медицинский_adj,17878,Topic 4,0.02423815984706507
год_noun,25677,Topic 4,0.015140288342912084
здравоохранение_noun,10765,Topic 4,0.010677837285725043
помощь_noun,12560,Topic 4,0.01063855186517536
система_noun,5893,Topic 4,0.008246426936545342
пациент_noun,12493,Topic 4,0.007071342717639983
услуга_noun,3753,Topic 4,0.006599552400093422
центр_noun,8349,Topic 4,0.0059662412975339
работа_noun,5660,Topic 4,0.00528851939897392
новый_adj,4800,Topic 4,0.004723067975682387
средство_noun,3044,Topic 4,0.004608276028245568
препарат_noun,3600,Topic 4,0.00457586373255695
организация_noun,3084,Topic 4,0.004361188966943232
лекарство_noun,2836,Topic 4,0.004312722877758558
врач_noun,16110,Topic 4,0.00417681810039501
рамка_noun,2471,Topic 4,0.004142595689705323
социальный_adj,2703,Topic 4,0.004138845404391073
лечение_noun,8313,Topic 4,0.0038615085141767585
поликлиник_noun,2800,Topic 4,0.0037759932318449326
проект_noun,2126,Topic 4,0.003763533149646426
год_noun,25677,Topic 5,0.029853284565376677
случай_noun,9639,Topic 5,0.01875920203998329
человек_noun,12725,Topic 5,0.016874440534721948
область_noun,9646,Topic 5,0.012428598461266798
заболевание_noun,7973,Topic 5,0.011235847018524071
инфекция_noun,3645,Topic 5,0.010446489598435338
ребенок_noun,15596,Topic 5,0.009201210505934459
страна_noun,5518,Topic 5,0.009144849903194516
здравоохранение_noun,10765,Topic 5,0.006585524606509343
вирус_noun,2239,Topic 5,0.0063012464018316425
вакцинация_noun,1995,Topic 5,0.005374325022919279
выявить_verb,2646,Topic 5,0.005261510813460838
число_noun,3215,Topic 5,0.005120571336069991
зарегистрировать_verb,1811,Topic 5,0.004750757051195381
данные_noun,3152,Topic 5,0.004444895657723905
рак_noun,2140,Topic 5,0.004319871136405809
профилактика_noun,1609,Topic 5,0.004044025810582362
новый_adj,4800,Topic 5,0.003991548487608521
женщина_noun,5949,Topic 5,0.0036869635572527493
тысяча_noun,3175,Topic 5,0.0036152956681129366
